Component,Quantity Per PCB,References,Value,MPN1,MPN2,Footprint,Population
1,4,C6 C14 C16 C17,100 nF,CC0805KRX7R7BB104,,C_0805_2012Metric,
2,1,C4,220 nF,C2012X5R1H224K125AA,,C_0805_2012Metric,
3,2,C5 C12,1 uF,C0805C105K4RACTU,,C_0805_2012Metric,
4,2,C2 C3,4.7 uF,C2012X5R1H475K125AB,,C_0805_2012Metric,
5,1,C10,10 uF,AFK106M25B12T-F,,CP_Elec_4x5.8,
6,1,C15,10 uF,GRM21BC81C106ME15L,,C_0805_2012Metric,
7,3,C7 C8 C9,47 uF,GRM32ER61C476KE15L,,C_1210_3225Metric,
8,1,C11,100 uF,UWR1A101MCL1GB,,CP_Elec_5x5.4,
9,1,C1,470 uF,EEV-FK1H471M,,CP_Elec_16x17.5,
10,3,D18 D19 D20,5V,597-6901-607F,,LED_0805_2012Metric,
11,1,D1,N/A,CD-MBL206SL,,Diode_Bridge_Bourns_CD-MBL2xxS,
12,8,D2 D4 D6 D8 D10 D12 D14 D16,N/A,1N4148W,,D_SOD-123,
13,8,D3 D5 D7 D9 D11 D13 D15 D17,RELAY_1,APTL3216CGCK,,LED_0805_2012Metric,
14,1,F1,300 mA,2920L030DR,,Fuse_2920_7451Metric,
15,2,J19 J20,3V3,,,PinSocket_1x02_P2.54mm_Vertical,
16,9,J1 J11 J12 J13 J14 J15 J16 J17 J18,POWER_IN,1984617,,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",
17,9,J2 J3 J4 J5 J6 J7 J8 J9 J10,RELAY_1,1984620,,"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",
18,1,J21,SERIAL+GPIO,,,PinSocket_1x10_P2.54mm_Vertical,
19,8,K1 K2 K3 K4 K5 K6 K7 K8,G6E-134P-US DC5,G6E-134P-US DC5,,Relay_SPDT_Omron_G6E,
20,1,L1,15 uH,7447709150,MSS1210-153MEB,L_Wuerth_WE-PD-Typ-LS,
21,8,Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q8,2N7002,2N7002,,SOT-23,
22,1,R16,0,RC0805FR-070RL,,R_0805_2012Metric,
23,8,R1 R2 R3 R4 R7 R8 R9 R10,560,RT0805FRE07560RL,,R_0805_2012Metric,
24,2,R12 R13,1K,RC0805FR-071KL,,R_0805_2012Metric,
25,1,R15,4K7,RC0805FR-074K7L,,R_0805_2012Metric,
26,1,R11,8K2,RT0805FRE078K2L,,R_0805_2012Metric,
27,2,R14 R17,10K,RC0805FR-0710KL,,R_0805_2012Metric,
28,1,R6,24.9K,RT0805FRE0724K9L,,R_0805_2012Metric,
29,1,R5,100K,RC0805FR-07100KL,,R_0805_2012Metric,
30,1,RV1,N/A,B72205S0400K101,,RV_Disc_D7mm_W4mm_P5mm,
31,1,SW1,POWER,48BFSP1M6QT,,SW_Push_1P2T_Vertical_E-Switch_800UDP8P1A1M6,
32,2,SW2 SW3,RESET,PTS645VK582LFS,,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,
33,1,U3,ESP32-WROOM-32D,ESP32-WROOM-32D,,ESP32-WROOM-32,
34,1,U1,LMR36520ADDAR,LMR36520ADDAR,,Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,
35,1,U2,NCP1117-3.3,LD1117DT33CTR,,TO-252-2,
36,1,U4,TSOP382xx,TSOP38238,,Vishay_MINICAST-3Pin,
